celebrity_name,season,week,weekly_avg_score,weekly_total_score,num_judges,was_eliminated,weekly_rank_by_avg,weekly_rank_by_total,weekly_score_percentage,results,placement,has_tie
Evander Holyfield,1,1.0,6.0,18.0,3,False,4.0,4.0,16.51376146788991,Eliminated Week 3,5,True
Joey McIntyre,1,1.0,6.666666666666667,20.0,3,False,1.0,1.0,18.34862385321101,3rd Place,3,True
John O'Hurley,1,1.0,6.666666666666667,20.0,3,False,1.0,1.0,18.34862385321101,2nd Place,2,True
Kelly Monaco,1,1.0,4.333333333333333,13.0,3,False,6.0,6.0,11.926605504587156,1st Place,1,True
Rachel Hunter,1,1.0,6.666666666666667,20.0,3,False,1.0,1.0,18.34862385321101,Eliminated Week 4,4,True
Trista Sutter,1,1.0,6.0,18.0,3,False,4.0,4.0,16.51376146788991,Eliminated Week 2,6,True
Evander Holyfield,1,2.0,4.666666666666667,14.0,3,False,6.0,6.0,11.570247933884298,Eliminated Week 3,5,False
Joey McIntyre,1,2.0,7.0,21.0,3,False,3.0,3.0,17.355371900826448,3rd Place,3,False
John O'Hurley,1,2.0,8.666666666666666,26.0,3,False,1.0,1.0,21.487603305785125,2nd Place,2,False
Kelly Monaco,1,2.0,5.666666666666667,17.0,3,False,5.0,5.0,14.049586776859504,1st Place,1,False
Rachel Hunter,1,2.0,8.0,24.0,3,False,2.0,2.0,19.83471074380165,Eliminated Week 4,4,False
Trista Sutter,1,2.0,6.333333333333333,19.0,3,False,4.0,4.0,15.702479338842975,Eliminated Week 2,6,False
Evander Holyfield,1,3.0,4.333333333333333,13.0,3,False,5.0,5.0,12.264150943396226,Eliminated Week 3,5,False
Joey McIntyre,1,3.0,7.333333333333333,22.0,3,False,3.0,3.0,20.75471698113208,3rd Place,3,False
John O'Hurley,1,3.0,8.0,24.0,3,False,2.0,2.0,22.641509433962263,2nd Place,2,False
Kelly Monaco,1,3.0,7.0,21.0,3,False,4.0,4.0,19.81132075471698,1st Place,1,False
Rachel Hunter,1,3.0,8.666666666666666,26.0,3,False,1.0,1.0,24.52830188679245,Eliminated Week 4,4,False
Joey McIntyre,1,4.0,6.666666666666667,20.0,3,False,4.0,4.0,21.73913043478261,3rd Place,3,False
John O'Hurley,1,4.0,7.0,21.0,3,False,3.0,3.0,22.82608695652174,2nd Place,2,False
Kelly Monaco,1,4.0,8.666666666666666,26.0,3,False,1.0,1.0,28.26086956521739,1st Place,1,False
Rachel Hunter,1,4.0,8.333333333333334,25.0,3,False,2.0,2.0,27.173913043478255,Eliminated Week 4,4,False
Joey McIntyre,1,5.0,7.5,22.5,3,False,3.0,3.0,30.82191780821918,3rd Place,3,False
John O'Hurley,1,5.0,9.0,27.0,3,False,1.0,1.0,36.98630136986301,2nd Place,2,False
Kelly Monaco,1,5.0,7.833333333333333,23.5,3,False,2.0,2.0,32.19178082191781,1st Place,1,False
John O'Hurley,1,6.0,9.0,27.0,3,False,2.0,2.0,49.54128440366973,2nd Place,2,False
Kelly Monaco,1,6.0,9.166666666666666,27.5,3,False,1.0,1.0,50.45871559633027,1st Place,1,False
Drew Lachey,2,1.0,8.0,24.0,3,False,1.0,1.0,12.307692307692308,1st Place,1,True
George Hamilton,2,1.0,6.0,18.0,3,False,8.0,8.0,9.230769230769232,Eliminated Week 6,5,True
Giselle Fernandez,2,1.0,7.666666666666667,23.0,3,False,2.0,2.0,11.794871794871794,Eliminated Week 3,8,True
Jerry Rice,2,1.0,7.0,21.0,3,False,5.0,5.0,10.76923076923077,2nd Place,2,True
Kenny Mayne,2,1.0,4.333333333333333,13.0,3,False,9.0,9.0,6.666666666666667,Eliminated Week 1,10,True
Lisa Rinna,2,1.0,6.333333333333333,19.0,3,False,7.0,7.0,9.743589743589745,Eliminated Week 7,4,True
Master P,2,1.0,4.0,12.0,3,False,10.0,10.0,6.153846153846154,Eliminated Week 4,7,True
Stacy Keibler,2,1.0,7.333333333333333,22.0,3,False,4.0,4.0,11.282051282051285,3rd Place,3,True
Tatum O'Neal,2,1.0,7.666666666666667,23.0,3,False,2.0,2.0,11.794871794871794,Eliminated Week 2,9,True
Tia Carrere,2,1.0,6.666666666666667,20.0,3,False,6.0,6.0,10.256410256410255,Eliminated Week 5,6,True
Drew Lachey,2,2.0,9.0,27.0,3,False,2.0,2.0,13.5,1st Place,1,True
George Hamilton,2,2.0,7.333333333333333,22.0,3,False,5.0,5.0,11.0,Eliminated Week 6,5,True
Giselle Fernandez,2,2.0,8.0,24.0,3,False,3.0,3.0,12.0,Eliminated Week 3,8,True
Jerry Rice,2,2.0,7.666666666666667,23.0,3,False,4.0,4.0,11.5,2nd Place,2,True
Lisa Rinna,2,2.0,6.666666666666667,20.0,3,False,7.0,7.0,10.0,Eliminated Week 7,4,True
Master P,2,2.0,5.333333333333333,16.0,3,False,9.0,9.0,8.0,Eliminated Week 4,7,True
Stacy Keibler,2,2.0,9.666666666666666,29.0,3,False,1.0,1.0,14.499999999999998,3rd Place,3,True
Tatum O'Neal,2,2.0,5.666666666666667,17.0,3,False,8.0,8.0,8.5,Eliminated Week 2,9,True
Tia Carrere,2,2.0,7.333333333333333,22.0,3,False,5.0,5.0,11.0,Eliminated Week 5,6,True
Drew Lachey,2,3.0,9.0,27.0,3,False,1.0,1.0,14.835164835164836,1st Place,1,True
George Hamilton,2,3.0,7.333333333333333,22.0,3,False,5.0,5.0,12.087912087912088,Eliminated Week 6,5,True
Giselle Fernandez,2,3.0,7.333333333333333,22.0,3,False,5.0,5.0,12.087912087912088,Eliminated Week 3,8,True
Jerry Rice,2,3.0,6.333333333333333,19.0,3,False,7.0,7.0,10.43956043956044,2nd Place,2,True
Lisa Rinna,2,3.0,8.333333333333334,25.0,3,False,4.0,4.0,13.736263736263735,Eliminated Week 7,4,True
Master P,2,3.0,4.666666666666667,14.0,3,False,8.0,8.0,7.6923076923076925,Eliminated Week 4,7,True
Stacy Keibler,2,3.0,9.0,27.0,3,False,1.0,1.0,14.835164835164836,3rd Place,3,True
Tia Carrere,2,3.0,8.666666666666666,26.0,3,False,3.0,3.0,14.285714285714285,Eliminated Week 5,6,True
Drew Lachey,2,4.0,9.333333333333334,28.0,3,False,1.0,1.0,17.72151898734177,1st Place,1,True
George Hamilton,2,4.0,7.0,21.0,3,False,6.0,6.0,13.291139240506327,Eliminated Week 6,5,True
Jerry Rice,2,4.0,8.0,24.0,3,False,5.0,5.0,15.18987341772152,2nd Place,2,True
Lisa Rinna,2,4.0,8.666666666666666,26.0,3,False,2.0,2.0,16.455696202531644,Eliminated Week 7,4,True
Master P,2,4.0,2.6666666666666665,8.0,3,False,7.0,7.0,5.063291139240507,Eliminated Week 4,7,True
Stacy Keibler,2,4.0,8.666666666666666,26.0,3,False,2.0,2.0,16.455696202531644,3rd Place,3,True
Tia Carrere,2,4.0,8.333333333333334,25.0,3,False,4.0,4.0,15.822784810126585,Eliminated Week 5,6,True
Drew Lachey,2,5.0,9.0,27.0,3,False,2.0,2.0,17.880794701986755,1st Place,1,False
George Hamilton,2,5.0,8.0,24.0,3,False,4.0,4.0,15.89403973509934,Eliminated Week 6,5,False
Jerry Rice,2,5.0,7.666666666666667,23.0,3,False,5.0,5.0,15.2317880794702,2nd Place,2,False
Lisa Rinna,2,5.0,8.333333333333334,25.0,3,False,3.0,3.0,16.55629139072848,Eliminated Week 7,4,False
Stacy Keibler,2,5.0,10.0,30.0,3,False,1.0,1.0,19.86754966887417,3rd Place,3,False
Tia Carrere,2,5.0,7.333333333333333,22.0,3,False,6.0,6.0,14.56953642384106,Eliminated Week 5,6,False
Drew Lachey,2,6.0,10.0,30.0,3,False,1.0,1.0,22.55639097744361,1st Place,1,True
George Hamilton,2,6.0,7.666666666666667,23.0,3,False,4.0,4.0,17.293233082706767,Eliminated Week 6,5,True
Jerry Rice,2,6.0,7.666666666666667,23.0,3,False,4.0,4.0,17.293233082706767,2nd Place,2,True
Lisa Rinna,2,6.0,9.0,27.0,3,False,3.0,3.0,20.30075187969925,Eliminated Week 7,4,True
Stacy Keibler,2,6.0,10.0,30.0,3,False,1.0,1.0,22.55639097744361,3rd Place,3,True
Drew Lachey,2,7.0,9.166666666666666,27.5,3,False,1.0,1.0,26.96078431372549,1st Place,1,True
Jerry Rice,2,7.0,6.833333333333333,20.5,3,False,4.0,4.0,20.098039215686278,2nd Place,2,True
Lisa Rinna,2,7.0,8.833333333333334,26.5,3,False,3.0,3.0,25.98039215686275,Eliminated Week 7,4,True
Stacy Keibler,2,7.0,9.166666666666666,27.5,3,False,1.0,1.0,26.96078431372549,3rd Place,3,True
Drew Lachey,2,8.0,9.6666,28.9998,3,False,1.0,1.0,34.38729131809769,1st Place,1,False
Jerry Rice,2,8.0,8.888866666666667,26.666600000000003,3,False,3.0,3.0,31.620636785880723,2nd Place,2,False
Stacy Keibler,2,8.0,9.5555,28.6665,3,False,2.0,2.0,33.9920718960216,3rd Place,3,False
Ally Brooke,28,1.0,5.333333333333333,16.0,3,False,7.0,7.0,8.121827411167512,3rd Place,3,True
Hannah Brown,28,1.0,6.666666666666667,20.0,3,False,2.0,2.0,10.152284263959393,1st Place,1,True
James Van Der Beek,28,1.0,7.0,21.0,3,False,1.0,1.0,10.65989847715736,Eliminated Week 10,5,True
Karamo Brown,28,1.0,5.666666666666667,17.0,3,False,5.0,5.0,8.629441624365482,Eliminated Week 7,8,True
Kate Flannery,28,1.0,5.0,15.0,3,False,9.0,9.0,7.614213197969544,Eliminated Week 8,7,True
Kel Mitchell,28,1.0,5.333333333333333,16.0,3,False,7.0,7.0,8.121827411167512,2nd Place,2,True
Lamar Odom,28,1.0,3.6666666666666665,11.0,3,False,12.0,12.0,5.583756345177665,Eliminated Week 4,10,True
Lauren Alaina,28,1.0,6.333333333333333,19.0,3,False,3.0,3.0,9.64467005076142,4th Place,4,True
Mary Wilson,28,1.0,5.666666666666667,17.0,3,False,5.0,5.0,8.629441624365482,Eliminated Week 2,12,True
Ray Lewis,28,1.0,5.0,15.0,3,False,9.0,9.0,7.614213197969544,Withdrew,11,True
Sailor Brinkley-Cook,28,1.0,6.0,18.0,3,False,4.0,4.0,9.137055837563452,Eliminated Week 6,9,True
Sean Spicer,28,1.0,4.0,12.0,3,False,11.0,11.0,6.091370558375635,Eliminated Week 9,6,True
Ally Brooke,28,2.0,6.666666666666667,20.0,3,False,3.0,3.0,9.1324200913242,3rd Place,3,True
Hannah Brown,28,2.0,8.0,24.0,3,False,1.0,1.0,10.95890410958904,1st Place,1,True
James Van Der Beek,28,2.0,6.666666666666667,20.0,3,False,3.0,3.0,9.1324200913242,Eliminated Week 10,5,True
Karamo Brown,28,2.0,6.333333333333333,19.0,3,False,6.0,6.0,8.67579908675799,Eliminated Week 7,8,True
Kate Flannery,28,2.0,7.0,21.0,3,False,2.0,2.0,9.58904109589041,Eliminated Week 8,7,True
Kel Mitchell,28,2.0,6.666666666666667,20.0,3,False,3.0,3.0,9.1324200913242,2nd Place,2,True
Lamar Odom,28,2.0,4.0,12.0,3,False,12.0,12.0,5.47945205479452,Eliminated Week 4,10,True
Lauren Alaina,28,2.0,6.333333333333333,19.0,3,False,6.0,6.0,8.67579908675799,4th Place,4,True
Mary Wilson,28,2.0,5.0,15.0,3,False,10.0,10.0,6.849315068493151,Eliminated Week 2,12,True
Ray Lewis,28,2.0,5.0,15.0,3,False,10.0,10.0,6.849315068493151,Withdrew,11,True
Sailor Brinkley-Cook,28,2.0,6.0,18.0,3,False,8.0,8.0,8.21917808219178,Eliminated Week 6,9,True
Sean Spicer,28,2.0,5.333333333333333,16.0,3,False,9.0,9.0,7.30593607305936,Eliminated Week 9,6,True
Ally Brooke,28,3.0,8.0,24.0,3,False,1.0,1.0,12.12121212121212,3rd Place,3,True
Hannah Brown,28,3.0,7.0,21.0,3,False,5.0,5.0,10.606060606060606,1st Place,1,True
James Van Der Beek,28,3.0,7.666666666666667,23.0,3,False,3.0,3.0,11.616161616161616,Eliminated Week 10,5,True
Karamo Brown,28,3.0,5.333333333333333,16.0,3,False,8.0,8.0,8.080808080808081,Eliminated Week 7,8,True
Kate Flannery,28,3.0,8.0,24.0,3,False,1.0,1.0,12.12121212121212,Eliminated Week 8,7,True
Kel Mitchell,28,3.0,6.666666666666667,20.0,3,False,6.0,6.0,10.1010101010101,2nd Place,2,True
Lamar Odom,28,3.0,4.0,12.0,3,False,10.0,10.0,6.0606060606060606,Eliminated Week 4,10,True
Lauren Alaina,28,3.0,6.666666666666667,20.0,3,False,6.0,6.0,10.1010101010101,4th Place,4,True
Sailor Brinkley-Cook,28,3.0,7.666666666666667,23.0,3,False,3.0,3.0,11.616161616161616,Eliminated Week 6,9,True
Sean Spicer,28,3.0,5.0,15.0,3,False,9.0,9.0,7.575757575757576,Eliminated Week 9,6,True
Ally Brooke,28,4.0,8.0,32.0,4,False,1.0,1.0,11.347517730496454,3rd Place,3,True
Hannah Brown,28,4.0,8.0,32.0,4,False,1.0,1.0,11.347517730496454,1st Place,1,True
James Van Der Beek,28,4.0,7.0,28.0,4,False,6.0,6.0,9.929078014184398,Eliminated Week 10,5,True
Karamo Brown,28,4.0,7.0,28.0,4,False,6.0,6.0,9.929078014184398,Eliminated Week 7,8,True
Kate Flannery,28,4.0,6.5,26.0,4,False,8.0,8.0,9.219858156028367,Eliminated Week 8,7,True
Kel Mitchell,28,4.0,8.0,32.0,4,False,1.0,1.0,11.347517730496454,2nd Place,2,True
Lamar Odom,28,4.0,5.0,20.0,4,False,10.0,10.0,7.092198581560284,Eliminated Week 4,10,True
Lauren Alaina,28,4.0,8.0,32.0,4,False,1.0,1.0,11.347517730496454,4th Place,4,True
Sailor Brinkley-Cook,28,4.0,7.75,31.0,4,False,5.0,5.0,10.99290780141844,Eliminated Week 6,9,True
Sean Spicer,28,4.0,5.25,21.0,4,False,9.0,9.0,7.446808510638298,Eliminated Week 9,6,True
Ally Brooke,28,5.0,9.0,27.0,3,False,1.0,1.0,12.558139534883722,3rd Place,3,True
Hannah Brown,28,5.0,8.333333333333334,25.0,3,False,4.0,4.0,11.627906976744184,1st Place,1,True
James Van Der Beek,28,5.0,8.666666666666666,26.0,3,False,2.0,2.0,12.093023255813954,Eliminated Week 10,5,True
Karamo Brown,28,5.0,7.0,21.0,3,False,8.0,8.0,9.767441860465116,Eliminated Week 7,8,True
Kate Flannery,28,5.0,8.0,24.0,3,False,5.0,5.0,11.16279069767442,Eliminated Week 8,7,True
Kel Mitchell,28,5.0,8.666666666666666,26.0,3,False,2.0,2.0,12.093023255813954,2nd Place,2,True
Lauren Alaina,28,5.0,7.666666666666667,23.0,3,False,7.0,7.0,10.69767441860465,4th Place,4,True
Sailor Brinkley-Cook,28,5.0,8.0,24.0,3,False,5.0,5.0,11.16279069767442,Eliminated Week 6,9,True
Sean Spicer,28,5.0,6.333333333333333,19.0,3,False,9.0,9.0,8.837209302325581,Eliminated Week 9,6,True
Ally Brooke,28,6.0,8.333333333333334,25.0,3,False,6.0,6.0,10.964912280701752,3rd Place,3,True
Hannah Brown,28,6.0,8.0,24.0,3,False,8.0,8.0,10.526315789473683,1st Place,1,True
James Van Der Beek,28,6.0,9.0,27.0,3,False,1.0,1.0,11.842105263157894,Eliminated Week 10,5,True
Karamo Brown,28,6.0,8.333333333333334,25.0,3,False,6.0,6.0,10.964912280701752,Eliminated Week 7,8,True
Kate Flannery,28,6.0,9.0,27.0,3,False,1.0,1.0,11.842105263157894,Eliminated Week 8,7,True
Kel Mitchell,28,6.0,8.666666666666666,26.0,3,False,4.0,4.0,11.403508771929824,2nd Place,2,True
Lauren Alaina,28,6.0,8.666666666666666,26.0,3,False,4.0,4.0,11.403508771929824,4th Place,4,True
Sailor Brinkley-Cook,28,6.0,9.0,27.0,3,False,1.0,1.0,11.842105263157894,Eliminated Week 6,9,True
Sean Spicer,28,6.0,7.0,21.0,3,False,9.0,9.0,9.210526315789473,Eliminated Week 9,6,True
Ally Brooke,28,7.0,9.0,27.0,3,False,1.0,1.0,13.366336633663368,3rd Place,3,True
Hannah Brown,28,7.0,8.666666666666666,26.0,3,False,4.0,4.0,12.871287128712872,1st Place,1,True
James Van Der Beek,28,7.0,9.0,27.0,3,False,1.0,1.0,13.366336633663368,Eliminated Week 10,5,True
Karamo Brown,28,7.0,8.166666666666666,24.5,3,False,6.0,6.0,12.128712871287128,Eliminated Week 7,8,True
Kate Flannery,28,7.0,8.0,24.0,3,False,7.0,7.0,11.88118811881188,Eliminated Week 8,7,True
Kel Mitchell,28,7.0,8.5,25.5,3,False,5.0,5.0,12.623762376237623,2nd Place,2,True
Lauren Alaina,28,7.0,9.0,27.0,3,False,1.0,1.0,13.366336633663368,4th Place,4,True
Sean Spicer,28,7.0,7.0,21.0,3,False,8.0,8.0,10.396039603960396,Eliminated Week 9,6,True
Ally Brooke,28,8.0,10.0,30.0,3,False,3.0,3.0,15.544105882304176,3rd Place,3,False
Hannah Brown,28,8.0,10.333266666666669,30.9998,3,False,2.0,2.0,16.062139117675102,1st Place,1,False
James Van Der Beek,28,8.0,10.6666,31.9998,3,False,1.0,1.0,16.58027598041857,Eliminated Week 10,5,False
Kate Flannery,28,8.0,8.6666,25.9998,3,False,5.0,5.0,13.471454803957736,Eliminated Week 8,7,False
Kel Mitchell,28,8.0,9.999933333333331,29.9998,3,False,4.0,4.0,15.544002254931629,2nd Place,2,False
Lauren Alaina,28,8.0,8.0,24.0,3,False,6.0,6.0,12.43528470584334,4th Place,4,False
Sean Spicer,28,8.0,6.666666666666667,20.0,3,False,7.0,7.0,10.362737254869453,Eliminated Week 9,6,False
Ally Brooke,28,9.0,10.0,40.0,4,False,1.0,1.0,19.18465227817746,3rd Place,3,False
Hannah Brown,28,9.0,8.875,35.5,4,False,4.0,4.0,17.026378896882495,1st Place,1,False
James Van Der Beek,28,9.0,9.0,36.0,4,False,3.0,3.0,17.26618705035971,Eliminated Week 10,5,False
Kel Mitchell,28,9.0,9.25,37.0,4,False,2.0,2.0,17.74580335731415,2nd Place,2,False
Lauren Alaina,28,9.0,8.75,35.0,4,False,5.0,5.0,16.786570743405278,4th Place,4,False
Sean Spicer,28,9.0,6.25,25.0,4,False,6.0,6.0,11.990407673860911,Eliminated Week 9,6,False
Ally Brooke,28,10.0,9.833333333333334,29.5,3,False,1.0,1.0,21.454545454545453,3rd Place,3,True
Hannah Brown,28,10.0,9.0,27.0,3,False,3.0,3.0,19.63636363636364,1st Place,1,True
James Van Der Beek,28,10.0,8.5,25.5,3,False,5.0,5.0,18.545454545454547,Eliminated Week 10,5,True
Kel Mitchell,28,10.0,9.5,28.5,3,False,2.0,2.0,20.727272727272727,2nd Place,2,True
Lauren Alaina,28,10.0,9.0,27.0,3,False,3.0,3.0,19.63636363636364,4th Place,4,True
Ally Brooke,28,11.0,10.0,30.0,3,False,1.0,1.0,25.64102564102564,3rd Place,3,False
Hannah Brown,28,11.0,9.666666666666666,29.0,3,False,3.0,3.0,24.786324786324787,1st Place,1,False
Kel Mitchell,28,11.0,9.833333333333334,29.5,3,False,2.0,2.0,25.213675213675213,2nd Place,2,False
Lauren Alaina,28,11.0,9.5,28.5,3,False,4.0,4.0,24.35897435897436,4th Place,4,False
AJ McLean,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 9,7,True
Anne Heche,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 4,13,True
Carole Baskin,29,1.0,3.6666666666666665,11.0,3,False,15.0,15.0,4.230769230769231,Eliminated Week 3,14,True
Charles Oakley,29,1.0,4.0,12.0,3,False,14.0,14.0,4.615384615384616,Eliminated Week 2,15,True
Chrishell Stause,29,1.0,4.333333333333333,13.0,3,False,13.0,13.0,5.0,Eliminated Week 8,8,True
Jeannie Mai,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Withdrew,9,True
Jesse Metcalfe,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 5,12,True
Johnny Weir,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 10,6,True
Justina Machado,29,1.0,7.0,21.0,3,False,1.0,1.0,8.076923076923077,4th Place,4,True
Kaitlyn Bristowe,29,1.0,6.666666666666667,20.0,3,False,3.0,3.0,7.6923076923076925,1st Place,1,True
Monica Aldama,29,1.0,6.333333333333333,19.0,3,False,5.0,5.0,7.307692307692308,Eliminated Week 7,10,True
Nelly,29,1.0,5.333333333333333,16.0,3,False,12.0,12.0,6.153846153846154,3rd Place,3,True
Nev Schulman,29,1.0,6.666666666666667,20.0,3,False,3.0,3.0,7.6923076923076925,2nd Place,2,True
Skai Jackson,29,1.0,7.0,21.0,3,False,1.0,1.0,8.076923076923077,Eliminated Week 10,5,True
Veron Davis,29,1.0,5.666666666666667,17.0,3,False,11.0,11.0,6.538461538461539,Eliminated Week 6,11,True
AJ McLean,29,2.0,6.333333333333333,19.0,3,False,5.0,5.0,6.95970695970696,Eliminated Week 9,7,True
Anne Heche,29,2.0,6.0,18.0,3,False,6.0,6.0,6.593406593406594,Eliminated Week 4,13,True
Carole Baskin,29,2.0,5.333333333333333,16.0,3,False,12.0,12.0,5.86080586080586,Eliminated Week 3,14,True
